sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV189,0.00123043795901104,0.000634444572615065,0.00123043795901104,0.000980505248586919,0,0.000269158303533664,g__unclassified
ASV190,0.000961279655477371,0.000288383896643211,0.000769023724381897,0.00178798015918791,0,0.000153804744876379,g__unclassified
ASV191,0.00117276117968239,0.00276848540777483,0.00159572422809244,0.00119198677279194,0.000230707117314569,0,g__Sphingomonas
ASV192,7.69023724381897e-05,0.000884377283039182,0,0.000115353558657285,0.00157649863498289,0.0107086553620179,g__unclassified
ASV193,0.000288383896643211,0.000942054062367824,0.000307609489752759,0.00119198677279194,0.000442188641519591,0.000269158303533664,g__unclassified
ASV194,0,0.00136501711077787,0.00128811473833968,0.000519091013957781,0,0,g__unclassified
ASV195,0.000711346945053255,0.00103818202791556,0.000884377283039182,0.00134579151766832,0.000788249317491445,0,g__unclassified
ASV196,0.000249932710424117,0.000422963048410043,0.00165340100742108,0.000461414234629138,0.000192255931095474,7.69023724381897e-05,g__Pseudomonas
ASV197,0.000653670165724613,0.000999730841696466,0.000442188641519591,0.000538316607067328,0.00669050640212251,0.00161494982120198,g__unclassified
ASV198,0.00196101049717384,0.0022301688007075,0.00198023609028339,0.000519091013957781,0.00207636405583112,0.000288383896643211,g__Streptomyces
ASV199,0.000173030337985927,0.000653670165724613,0.00119198677279194,0.00163417541431153,0.000576767793286423,0.000115353558657285,g__unclassified
ASV200,0,0.000634444572615065,0,0,0.00609451301572653,0.00353750913215673,g__Gemmatimonas
ASV201,0,0.000249932710424117,0.000192255931095474,0.000115353558657285,0,5.76767793286423e-05,g__unclassified
ASV202,0.00159572422809244,7.69023724381897e-05,0.000269158303533664,0.000288383896643211,0.000961279655477371,0.000442188641519591,g__unclassified
ASV203,0.00196101049717384,0.00123043795901104,0.00334525320106125,0.0014611450763256,0.000230707117314569,0,g__Gaiella
ASV204,0,0.00121121236590149,0.000403737455300496,0.000576767793286423,0,0,g__unclassified
ASV205,5.76767793286423e-05,0.000115353558657285,0.000480639827738686,0.000192255931095474,0,0.00117276117968239,g__Roseisolibacter
ASV206,0,0.000326835082862306,0.000634444572615065,0.00117276117968239,0,0,g__SWB02
ASV207,0.000346060675971854,0,0.000461414234629138,9.61279655477372e-05,0,0.00067289575883416,g__unclassified
ASV208,0.00121121236590149,0.000788249317491445,0,0.000519091013957781,0.00155727304187334,0.000461414234629138,g__unclassified
ASV209,0.000307609489752759,0.000730572538162802,0.00144191948321606,0.00217249202137886,0.00148037066943515,0.000980505248586919,g__unclassified
ASV210,0.00144191948321606,0.000326835082862306,0.00107663321413466,0.00074979813127235,0,0,g__unclassified
ASV211,0,0.000384511862190949,0.000653670165724613,0.00207636405583112,0.000249932710424117,0.00101895643480601,g__Massilia
ASV212,0.000903602876148729,0.000519091013957781,0.00199946168339293,0.000999730841696466,0.000384511862190949,0.000230707117314569,g__unclassified
ASV213,0.000653670165724613,0.000692121351943707,0.00082670050371054,0.00140346829699696,0.000557542200176875,0.000884377283039182,g__Sphingomonas
ASV214,0,0,0,0,0,0,g__Chryseobacterium
ASV215,0.00123043795901104,0.0019033337178452,0.00142269389010651,0.000865151689929634,5.76767793286423e-05,0.000442188641519591,g__Adhaeribacter
ASV216,0.000269158303533664,0.00115353558657285,0.000615218979505518,0.00159572422809244,0.000326835082862306,0.000115353558657285,g__unclassified
ASV217,0.000192255931095474,0.000461414234629138,0.000653670165724613,0.000807474910600992,7.69023724381897e-05,0,g__unclassified
ASV218,0.00148037066943515,0.00067289575883416,0.0014995962625447,0.00074979813127235,0,0,g__unclassified
ASV219,0.000442188641519591,0.000192255931095474,0.000557542200176875,0.000422963048410043,0.000153804744876379,0.000692121351943707,g__unclassified
ASV220,0.00207636405583112,0.00115353558657285,0.00276848540777483,0.000922828469258277,0,0.000173030337985927,g__unclassified
ASV221,0.00286461337332257,0.00128811473833968,0.000211481524205022,0.00059599338639597,0,0,g__unclassified
ASV222,0,0.000230707117314569,9.61279655477372e-05,0.000211481524205022,0.000192255931095474,0.00703656707809436,g__Nibribacter
ASV223,0.00236474795247433,0.000865151689929634,0.00132656592455877,0.000711346945053255,0.00590225708463106,0.00240319913869343,g__Lysobacter
ASV224,9.61279655477372e-05,0,0.000403737455300496,0.000711346945053255,0,0,g__unclassified
